,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD),time_frame,symbol
20523,2021-02-28,399.62,409.87,348.91,405.12,399.62,409.87,348.91,405.12,59932.88088,59932.88088,daily,COMP
20524,2021-02-27,397.83,432.66,389.23,399.49,397.83,432.66,389.23,399.49,39502.42454,39502.42454,daily,COMP
20525,2021-02-26,397.33,422.76,361.72,398.09,397.33,422.76,361.72,398.09,115247.58319,115247.58319,daily,COMP
20526,2021-02-25,437.65,459.0,392.0,396.48,437.65,459.0,392.0,396.48,48027.07874,48027.07874,daily,COMP
20527,2021-02-24,383.47,461.06,368.29,437.24,383.47,461.06,368.29,437.24,71510.51421,71510.51421,daily,COMP
20528,2021-02-23,424.01,431.66,322.15,383.79,424.01,431.66,322.15,383.79,92848.60848,92848.60848,daily,COMP
20529,2021-02-22,453.51,470.7,367.8,423.19,453.51,470.7,367.8,423.19,88778.93379,88778.93379,daily,COMP
20530,2021-02-21,452.84,469.77,442.32,453.06,452.84,469.77,442.32,453.06,29148.89209,29148.89209,daily,COMP
20531,2021-02-20,451.15,506.26,427.22,452.82,451.15,506.26,427.22,452.82,82081.30748,82081.30748,daily,COMP
20532,2021-02-19,456.69,482.0,435.59,451.15,456.69,482.0,435.59,451.15,42449.18932,42449.18932,daily,COMP
20533,2021-02-18,473.91,480.97,450.68,456.63,473.91,480.97,450.68,456.63,28229.13975,28229.13975,daily,COMP
20534,2021-02-17,457.49,475.0,412.6,474.18,457.49,475.0,412.6,474.18,59320.7213,59320.7213,daily,COMP
20535,2021-02-16,460.47,506.0,435.5,457.31,460.47,506.0,435.5,457.31,45272.26745,45272.26745,daily,COMP
20536,2021-02-15,471.31,508.39,399.79,460.75,471.31,508.39,399.79,460.75,64270.83768,64270.83768,daily,COMP
20537,2021-02-14,511.76,528.76,459.72,471.27,511.76,528.76,459.72,471.27,42041.19439,42041.19439,daily,COMP
20538,2021-02-13,536.55,558.0,497.16,511.0,536.55,558.0,497.16,511.0,50504.52103,50504.52103,daily,COMP
20539,2021-02-12,501.69,573.0,479.22,536.53,501.69,573.0,479.22,536.53,107099.71371,107099.71371,daily,COMP
20540,2021-02-11,473.12,525.34,455.29,501.91,473.12,525.34,455.29,501.91,71753.59159,71753.59159,daily,COMP
20541,2021-02-10,489.59,528.41,437.49,473.12,489.59,528.41,437.49,473.12,82313.28981,82313.28981,daily,COMP
20542,2021-02-09,455.0,490.33,436.01,489.0,455.0,490.33,436.01,489.0,80150.41483,80150.41483,daily,COMP
20543,2021-02-08,457.41,497.0,441.83,454.98,457.41,497.0,441.83,454.98,55511.51045,55511.51045,daily,COMP
20544,2021-02-07,464.82,479.0,392.67,457.41,464.82,479.0,392.67,457.41,58784.92251,58784.92251,daily,COMP
20545,2021-02-06,531.91,550.0,440.0,465.0,531.91,550.0,440.0,465.0,80702.24162,80702.24162,daily,COMP
20546,2021-02-05,455.04,553.99,454.0,531.46,455.04,553.99,454.0,531.46,91255.7281,91255.7281,daily,COMP
20547,2021-02-04,389.67,498.0,379.79,455.19,389.67,498.0,379.79,455.19,134162.84494,134162.84494,daily,COMP
20548,2021-02-03,356.22,390.12,342.82,389.67,356.22,390.12,342.82,389.67,41153.96456,41153.96456,daily,COMP
20549,2021-02-02,361.97,365.97,336.09,356.18,361.97,365.97,336.09,356.18,37465.60475,37465.60475,daily,COMP
20550,2021-02-01,347.46,377.0,330.85,362.25,347.46,377.0,330.85,362.25,80108.39207,80108.39207,daily,COMP
20551,2021-01-31,338.36,349.0,304.84,347.19,338.36,349.0,304.84,347.19,63201.68979,63201.68979,daily,COMP
20552,2021-01-30,295.17,340.0,278.98,338.2,295.17,340.0,278.98,338.2,114437.65004,114437.65004,daily,COMP
20553,2021-01-29,251.52,304.0,236.56,295.88,251.52,304.0,236.56,295.88,68848.7874,68848.7874,daily,COMP
20554,2021-01-28,218.83,268.0,213.81,252.03,218.83,268.0,213.81,252.03,53314.67291,53314.67291,daily,COMP
20555,2021-01-27,237.91,239.84,209.66,219.12,237.91,239.84,209.66,219.12,39485.87126,39485.87126,daily,COMP
20556,2021-01-26,212.75,241.99,205.16,237.9,212.75,241.99,205.16,237.9,54031.36972,54031.36972,daily,COMP
20557,2021-01-25,250.38,258.82,206.15,212.81,250.38,258.82,206.15,212.81,63642.86608,63642.86608,daily,COMP
20558,2021-01-24,206.97,253.04,205.11,250.06,206.97,253.04,205.11,250.06,59373.87296,59373.87296,daily,COMP
20559,2021-01-23,199.49,213.55,196.74,206.98,199.49,213.55,196.74,206.98,21875.59262,21875.59262,daily,COMP
20560,2021-01-22,176.33,209.09,165.47,199.71,176.33,209.09,165.47,199.71,42071.87662,42071.87662,daily,COMP
20561,2021-01-21,212.77,213.71,174.53,176.64,212.77,213.71,174.53,176.64,52521.46992,52521.46992,daily,COMP
20562,2021-01-20,211.41,218.35,198.28,212.39,211.41,218.35,198.28,212.39,36760.44324,36760.44324,daily,COMP
20563,2021-01-19,226.21,234.9,210.18,211.22,226.21,234.9,210.18,211.22,40276.26352,40276.26352,daily,COMP
20564,2021-01-18,217.14,238.99,207.14,225.91,217.14,238.99,207.14,225.91,47319.21806,47319.21806,daily,COMP
